,Comment
1470,Basically he wants to compete with Mr. Faisu in dislike race so he make this video grinning_squinting_facegrinning_squinting_face
1414,"Exactly! People like Carry Minati are simply destroying the youth. Great work done by you, Kunal Kamra!"
1710,Dot say bad word carrymienat
1162,Kabhi Mahmad pe comedy kar ke dikhav
471,This man are totally radical mindset
1588,Such a lame guy face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
2067,Bubby sparkling_heart
1093,face_with_tears_of_joyface_with_tears_of_joyre re chudail pe bi hawas utar di
384,"8:15 after 2.4million likes 
Pela gaya carry ka fans sa ab chuprolling_on_the_floor_laughingrolling_on_the_floor_laughing"
294,The first video of my life when I'm feeling great to dislike face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
818,"bhai tu kitne achi komedy karta hain.......

HAHAHAHAHAHAHAHAHHAHAHHA"
900,Bhai mehnat kharab ho gyi bacho ki Dislike dikh hi nhi rhe face_with_tears_of_joyface_with_tears_of_joy
886,CAMAHAMA HAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA!
619,Jali ko aag khete h bhuji ko rakh khete h aur jis batt ko sunkar juta nikal jaye use man ki batt khete h face_with_tears_of_joy
238,Binod
940,"Kunal kamra's confidence on his Comedy , Reminds me of Ram Rahim During the promotion of MSG .     

I Mean it..."
1078,"Exactly! People like Carry Minati are simply destroying the youth. Great work done by you, Kunal Kamra!"
407,Kunal after having more dislikes than his subscribers be like: roasting barbaad behnchodface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
2029,Bilkul halat khatab ho jati hai
1981,Kunal kamra gan du after seeing dislikesloudly_crying_faceloudly_crying_faceloudly_crying_faceloudly_crying_faceloudly_crying_facemai mc hu jo youtuber banagrinning_squinting_facegrinning_squinting_face
912,Subscribers se zyada dislike hai tere video me.. rolling_on_the_floor_laughingrolling_on_the_floor_laughing
1241,This video is probably gonna break the record of most disliked video. A record that carryminati can never break. face_with_tears_of_joy
1601,Bacchpan me chote the bolne wale insaan.. Carry se panga please mat le..
1816,"Now kunal be like... ""isme modi ji ki hi haath he"" and ""arnab is responsible for 2M dislike"".. rolling_on_the_floor_laughingrolling_on_the_floor_laughing"
1238,Mark my words this video is going to break the record of most disliked videothumbs_upfolded_handsrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1510,"Maturity is when you can taste your own pill.
And react if you are mature enough."
1060,"Sahi kaha ..

Gali se roast nai banta"
1622,"Aa gai swad face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
Sale carry ko rost karega"
966,"Govt. Teacher : what is your name ?
Kunal: My name is kunal kamra.
Govt. Teacher: toh bsdk terey baap ka naam eet hoga or maa ka cement
Whole class: ooooohhhhhhface_screaming_in_fear"
2093,Linus you need to call Hoeg Law and get some real advice my guy. Thats super lame..
1971,thumbs_up_light_skin_tonethumbs_up_light_skin_tonethumbs_up_light_skin_tone
1496,Yeah Dost Hai chutiyapaface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1764,Or kitna tadpaoge
1267,18:03 Em vụng về làm gì cũng đổ. Tấm thân này cũng lỡ đổ vào anh
1793,Hence proved that without modi Kunal kamra has no careerface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
162,Saisha bhabhi grinning_face_with_sweatgrinning_face_with_sweatgrinning_face_with_sweat hnn b.....mc
1792,Ab isko kehte hai 'keh kar lena' face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyfirefirefirefire
1945,You got 2M dislike rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
220,"Who is the chief minister of INDIA lol? only #carryminati fans can answer !!

Muje ee bhi lagta he adhi dislike BJP bhakt ke he"
937,Binod
254,Share option rakh napunsakrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1296,"Kunal I'm with you , don't be dishearted plz infact u should be encouraged , some people will still support you"
1272,Carry ki fans ki acchi sa jali h dislike dekh Kar pata chala hface_with_tears_of_joy
1126,"First time on this channel i realized 
I found that person who is true hater of tik tokrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
1967,"I was kinda happy to see that someone other than saiman has the guts to roast the youtube community and the famous names and not to go after soft and easy targets. But I'm sorry to say that the roast was absolute shit. Some lines were actually good and funny. ohhhhhh was overdone to point it felt like a massacre to brain. I know it was symbolizing how toxic fans behave after listening cuss words and thinking it is hilarious yet it was overdone and lost its impact. 
Overall the fundamental idea was good but was poorly implemented (demonitization flashbacks cough cough)
Toxic carry fans don't kill me. Yes, I'm gay."
165,"Google:
How to make bio-gas from online tatti.."
1882,"I love gujrati people,I also gujrati"
755,"No one :
Literally no one:
He after Every ghtia punchline: ohohohohoh!!!"
365,Abe jiska pura career modiji ko gali de kr chl rha wo to carry k popularity ka fyda to uthyega hi na rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing. behti ganga m hath dhone aya h ye lockdown m kharche chalane k liye
1644,"7:30 bhai tu tiktok me hi ja, kya pta vaha chal jaye xD"
1117,"The name ravish itself savage to bjp, but one thing is sure he will be the best editor and greatness will ever be remembered,,
Like his way of philosophy"
1762,Ravish ji bhot fark aa gya hai aap jaise akele sher k dhadne se...Godi media per to koi thukega bhi ni kuch din baad....
1613,All the records of dislikes gone face_with_tears_of_joy Carry fans should boycott youtube
2033,"By reading all the comments regarding this video.I got laughed not even single time by  watching this useless video 
Sssssssheeee what i watched today this day will be going to be the worst day in my life 
And I don't think so this video is a roasting videoface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy just he is  wasting our time and his tooosign_of_the_horns"
630,Jhaatu apne views dekhi 1.1crore hai aur likes 4.5L likes aur dislikes 25L likesrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
142,"One of the best thing about dude is that he never takes credit for himself when he achieves something. He always respect us, the audience and his Find the correct answer​ is polite in all his videos. We congratulate ourselves on this achievement. More to comered_heartyellow_heart"
746,"Har baat pe ""ooooooooo"" karke disturb mat karo yaar, comments par ne dounamused_face; Carry vai ne jitni baar jorse ""bhosdike"" nhi bola, is video mein usse zyada ""ooooooooooo"" haiexploding_head, tu jare baba, tu tiktok mein hi ja re, 6yaaa"
1263,7:30 bhai teko vese bhi Koiii ni dekhta YouTube me jao TattiTok me face_with_tears_of_joy
1737,Unlikes had brutally trolled u kunal kamra face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyrolling_on_the_floor_laughing
461,Bhai me bhi mota lund hto kya meinbhi eisa larta hi loudly_crying_faceloudly_crying_faceloudly_crying_faceloudly_crying_faceloudly_crying_face. I am very disappointed for this
948,"Now, I have got meaning of ""apne pair pai khulhadi maarna"
2006,423 bhakt
1409,The only time i laughed was after coming to the comment section face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
972,Share option rakh napunsakrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
2065,kunal be like iss video meh mujhe 2.4 million dislikes
979,सोनिया गांधी से कब पूछा था भाई? 2014 तक खुद पकौड़े बनाने के रेसिपी लिखते थे FB पे।
1314,Jab koe suwar tati khata hai tu Wo sweet potato karaha hai tati khane wala Kia samjega face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
874,oye crandeep face_with_tears_of_joy
436,"Goli nahi maarenge....Keh ke lenge uski....Apne aap hi saamne aa jayegaa!!!!! 
#WaahModijiWaah"
720,Udta le liya phr se isneface_with_tears_of_joy
1099,i want carry to roast this cartoon
1855,"Tere subscribers se jyda to iss video pe dislike AA gye face_with_rolling_eyesface_with_rolling_eyes
Congratulations for this fame on utube face_with_rolling_eyesrolling_on_the_floor_laughing
Baap Baap hota h or beta beta rolling_on_the_floor_laughing smjha ghochu"
574,This is the third most dislike video on youtube india  face_with_tears_of_joyface_with_tears_of_joy
174,After seeing dislikes ...kyu bhaee aagiya swaad
107,Sir  apki  kya  AUKAAT hai CARRYMINATI  ke samne .
281,Lo hamne 2m unlike de diyerolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
537,Bhai Alt balaji ke ad band kardrolling_on_the_floor_laughing
2056,"Brooo, this is so fucking good. The beats, the flow, both of your voices, so damn good."
825,"8:15 after 2.4million likes 
Pela gaya carry ka fans sa ab chuprolling_on_the_floor_laughingrolling_on_the_floor_laughing"
1845,2 bacche hai meethi kheer 2 se jyada bavaasir... Ha hahah
103,Modi is scared of kunal kamra and Munawar... Kitna barda fattttttoooo hai Modi.. Akthooooo
1437,Ek comedy imagine karo ek guru aur ek maluwi dono afin pi ke alag alag shabha me chalee gaye.. Now ur talent
633,The only thing that made me laugh is your career face_with_tears_of_joyface_with_tears_of_joy
1863,He's giving audition for next carry's videogrinning_face_with_sweatrolling_on_the_floor_laughing
1848,Nahi modiji ne dislike karwaya haiface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1980,"yummy maggi MMMMHHHh, i eating is maggi! Maggi is being vary notty notty boy"
736,"I FUCKING LOVE THIS GUY!!!!!
Bro you are on fire xD
""abhi pura pura desh ek hath meh phone or dusre meh laora pakar k betha rahega"" lmfao"
1745,"Lo dadaji ne jokes mari frowning_facefrowning_face
Hasoon bhai hasoon ! 
Sirf ho ho .."
1168,17:00 Ngoài trời ngập nắng. Tim lại đổ mưa. Lòng thầm lo lắng. Cậu thích ai chưa?
1858,Beef pe like gya mera bsdk
2072,At first I was so against kunal but now I agree with him
1294,Kya baat hai kamara 2M dislikes  waka roast pahili baar dekha
1864,Tere jitne subscribers nahi hsi use jyada to tere ko dislikes hai face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
559,"Carry k 20 million subscribers hue Or iske 2 million dislikeface_with_tears_of_joyface_with_tears_of_joy
Or ye bhaisahb bolte h aaja beta carry teko roast sikhayeface_with_tears_of_joyface_with_tears_of_joy"
1952,"The C in kunal stands for Comedian.

Btw ghante ka comedy hai"
784,Amazing sirrrrclapping_handsclapping_hands
982,"Linus, stop. Crypto has ZERO merit and should be BANNED. Period. No excuses. Gone. Done."
1011,Chal be  tu carry ko roast karegaface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1302,after posting this vedio by you carryminati becomes more and more famous...thanks for famousing carryminati
72,1 year ago I was among all those teenagers subscribing carryminati with more than 5 accounts and liking all his videos. And also laughing and disliking this video. But now i realized that how dumb i was. That time i also like all teenagers though those all abusing words were cool and also entertaining but now i realized how wrong i was. A new lesson i learned today is that first see and understand both sides then only come to a conclusion unlike blindly following someone .
1808,"Faisu: My video is the most disliked video of this time...

Kunal: Hold my Beer...beer_mugwaving_handsmiling_face_with_sunglasses"
9,Saaale ko 2 million dislikes mile hh ittne toh isske subscribers bhi nhii hhrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1317,"Congrats for 1.4m dislikerolling_on_the_floor_laughing
Carry's fan like here"
960,oye crandeep face_with_tears_of_joy
1176,"Carry minati at 20- a gamer, rapper, doing roast, live streams for charity, met Tom Cruise 
Kamra at 31- Modi Modi Modi"
353,Sooo sad that i cant see the dislike countunamused_faceface_with_tears_of_joy
172,Bacchpan me chote the bolne wale insaan.. Carry se panga please mat le..
1495,"Ravish ji bhi sonia rahul ji k samne rengte huye jate hay..Or modi ji pe jitna hamla ei log apna secularism dikhane ke liye kiye hay wo aaj tak kisi pe nehi hua hay.. Congress ke sath unka rishta sab ko pata hay , kripiya karke natak na kare ."
1854,"bil kul bhai abba qadar sahi bol rha tha madarse mai ghapa ghap chal rha tha.....................sahi samje na faruq bhai
rolling_on_the_floor_laughingface_with_tears_of_joy"
183,"Me - Disliked it  
My mind - no no he's got a point"
637,"*First-ever roast in my life* ...

*I didn't laugh at all*
*My face was like* neutral_face"
689,It feels like Himesh Reshamiya trying to diss Eminem in Rap.
1349,Intelligent you tuber in India
558,Tum se to  naa ho payega expressionless_faceexpressionless_faceexpressionless_face beta
645,When you don't have any job during lockdown... So just to earn money you pick word carry.
933,Ohhhhhhhhhh rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1663,Beta...ye apni fitrat Manmohan Singh k liye kyu nhi rakhe
1316,Am I the only one in the comment section who actually liked the roast?
318,"Honestly You probably deserved the Aviation ban.
I was wrong to support you in that lol face_with_tears_of_joy

Also I watched the whole video like this neutral_face"
1455,Yahaan bhi hagg diya isne. face_with_tears_of_joyface_with_tears_of_joy
1778,How many of yoh have come here to check dislikes?face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1728,*The video has more dislikes than the hair on his head* face_with_tears_of_joyface_with_tears_of_joyrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
595,"Who is ravish fan ??? Like here raised_hand
This is gandhi giri ....."
1253,Dislike button jaane ka sabse jyaada fayda inko hoga
1211,घोड़े की रेस मे गधे नही दौड़ते rolling_on_the_floor_laughingface_with_tears_of_joy
834,Hats off to Acharya prasant. Nobody can ever rost Carryminati  like Acharya prasant. Roster of all the so called roast.
522,Congratulations for 25 lakh dislikes
450,424k people have intelligence and intellectual thinking.
1260,2.4M dislikesface_with_tears_of_joy
1010,"He makes jokes on muslims not islam
And he makes jokes on sanatan dharam not hindus
Thats where the problem arrise
Tension mat lo centre m hum hi baithe h"
1785,Like n dislike ratio says everything rolling_on_the_floor_laughing
1149,Maulana aur Kothe ke karamchari me jyada antar nahi hotarolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingface_with_tears_of_joyface_with_tears_of_joy
224,Carry has a different style and u can't rost. man stick to stand-up beaming_face_with_smiling_eyessquinting_face_with_tonguewinking_face_with_tongue
1872,"Kamra parents be like :
Khas hum us raat jaldi so jate to aj.....!!
"" OOOHHHHHHHHHH ""
face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1028,wtf bro
1836,You got 2M dislike rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1190,2 M dislikes... Hahaha. Ye to record banayega..besharm
1084,"When you start to watch a video .. whole carry fan's react "" aaji lund mera"" ."
1954,It’s like  kamra teaching his father how to fuck
1726,Bhai comedy hi karta wahi achha lagta kyu udta hua teer gand me le liyaface_with_tears_of_joy
1419,Good video
1141,Kamra set an example of roasting himself while trying to roast a roaster who roasted a rooster
1833,The biggest roast is carry's number of subscribers vs kunal kamra.
858,It feels like Himesh Reshamiya trying to diss Eminem in Rap.
1025,Kaash kamra ke baap ne 2 rupye wla nirodh 32 saal phle liya hota toh  rolling_on_the_floor_laughing
1351,"Khamoshi stand up ki hai kyaa?? 
khamoshi ke baad stand up bandh?  
Gujarat or Gujarati people content countinue karo.."
458,"Who else is coming again and again to check the number of dislikes increasing face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyrolling_on_the_floor_laughing
Edit : I never got these many likes"
1857,"pure ek saal bad bas yhi dekhne aya hun, kahin mera dislike abhi bhi jeevit hai na. face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1985,Fb pe meme dekh k dislike marne aa gya mai rolling_on_the_floor_laughing
1220,Aakhri diwali kaa hero !!!!
1479,8:07 that's happened ...grinning_face_with_sweatthumbs_up
36,"bil kul bhai abba qadar sahi bol rha tha madarse mai ghapa ghap chal rha tha.....................sahi samje na faruq bhai
rolling_on_the_floor_laughingface_with_tears_of_joy"
788,"0% roast
101% ooooooooohhhhhhhhhhh"
101,"Ok... So.... Adding an ""OHH"" effect after every line is roasting!!! face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyvictory_hand..."
597,"⣤⣶⣶⣶⣦⣤⣄⡀

⠀⠀⠀⠀⠀⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⡀

⠀⠀⠀⢀⣾⣿⣿⣿⠿⠿⠟⠻⠿⢿⣿⣿⣿⡆

⠀⠀⠀⢰⣿⣿⡿⠂⠀⠀⠀⠀⠀⠀⠈⠉⢻⡇

⠀⠀⠀⠈⠿⣿⣇⣠⠤⠤⠤⢤⣀⣤⠤⠤⣺⡏

⠀⠀⠀⠀⠐⢉⣯⠹⣀⣀⣢⡸⠉⢏⡄⣀⣯⠁

⠀⠀⠀⠀⠡⠀⢹⣆⠀⠀⠀⣀⡀⡰⠀⢠⠖⠂to

⠀⠀⠀⠀⠀⠈⠙⣿⣿⠀⠠⠚⢋⡁⠀⡜ kaise

⠀⠀⠀⠀⠀⠀⢸⠈⠙⠦⣤⣀⣤⣤⡼⠁ hain

⠀⠀⠀⠀⠀⢀⡌⠀⠀⠀⠀ ⠉⢏⡉ aap log

⠀⠀⠀⣀⣴⣿⣷⣶⣤⣤⣤⣴⣾⣷⣶⣦⡀

⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣄

⠚⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛"
1983,PJ Galore !!!!
291,"I am a big fan of carryminati but for that I am not disliking your video brother
You have roasted him well and I appreciate your effort and all I can do to appreciate you is to give you a like on this vedio."
1487,MF hatersface_with_symbols_on_mouth
1045,Legend kamra
153,"Modi aur Amit shah bhi Gujraati hai abhi sweetneess ke bare mein thoda sochna padege unme jyadaa kamxxxxxx , manxxxxx aur dusxxxx diktha hai. .thinking_facethinking_facethinking_face"
1568,be honestly carry ne bhi ye video thumbs_up ki hogiface_with_tears_of_joy
292,Aur tereko mil gaya 2.4 million dislikes face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
442,Beta tumse na ho paaye ga vo baap h tune bola km h or meme jyaada h face_with_tears_of_joyface_with_tears_of_joy
1451,Nice stunt kunal
378,oye crandeep face_with_tears_of_joy
1466,7:33 to 7:43 isiliye kehte hai ki polio ka injection time pe hi lena chahiye
476,Subscribers se jyada dislikerolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
351,"Aisa kuch galat nhi bol kunal ne
Carry ko dekho ek baar kuch aata hai usko gali dend ke alwa?"
845,Binod
718,Asman me udta HA kite...jamin pe sala teri kharidne ki aukat nahi ha bike..SO CARRY KE NAJAYAS BETE PLEASE KEEP QUITE
1589,"Your videos only have modiji and carry. They make you famous. Wait are you famous??
Us* ooooooooooohhhhhhhhh"
1968,"char chavanni ghode peneutral_face
kunal kamra sabke lodde peface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy hahahahahaahahahahahahaha"
374,BATMAN.
411,red_heartface_with_tears_of_joyface_with_tears_of_joy
1163,Sach batavu to is roast me jitna bhi part carry bhai ne bola hai utna hi funny tha.Baki tumara roast to taati haiconfused_face.
