,Comment,label
23,Kunal karma abhi bhi time hai carry se mafi maglo kisico nhi pta chlega.smirking_face              think about it.,0
24,"Fulll video dekha aur mujhe yehi laga ki ""yeh toh tatti ho""",2
25,What are you saying bro....are you sick kunal chapri valaface_with_tears_of_joy,2
26,Gali gali me charcha hai Kunal Kamra bharwa hai face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,2
27,He got more dislikes then the hair on his head!!,0
28,"O bhai, landdhari Barbie face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyrolling_on_the_floor_laughingrolling_on_the_floor_laughing",2
29,This was an epic end to kamra's career,0
30,Is ka subscribers sa zada to dislike ha is kaface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
31,baap ko sikhayega face_with_tears_of_joy,2
32,123k Bhakts watched this video,1
33,Bhai tu famous hone ke liye kuch bhi bol raha hai yarrface_with_tears_of_joyface_with_tears_of_joy aur tera dislikes toh dekh abhiface_with_tears_of_joyface_with_tears_of_joy,1
34,"Even after so much dislike kamra is happy because it is his most watched video.

Badnaam huye to Kya hua naam to hoga",0
35,"Roasting in a parallel universe because in this world ""ye to tatti hai""shushing_face",2
36,"bil kul bhai abba qadar sahi bol rha tha madarse mai ghapa ghap chal rha tha.....................sahi samje na faruq bhai
rolling_on_the_floor_laughingface_with_tears_of_joy",1
37,"Kamra is actually roasting himself...ooooooooooo
By the way, nice attempt to become famous using Carryminati...ooooooooooo
grinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_face",0
38,red_heartface_with_tears_of_joyface_with_tears_of_joy,0
39,Jaruri ni h bhai aap gali deke hi famous honge,1
40,"Ye niche jitte 12 saal ke bachche Kunal ko gaaliya de rahe hai, agar 12 saal baad fir revisit karenge is video ko to khud hi samajh jayenge ki wo kitna slow the asliyat ko realize karne me ki unhe 12 saal lage sirf ye jaanne me ki Carry ka content box bas kachre ka over filled dibba hai jisme bas kachra bhara hua hai.

I dont support TikTok in any way, but yeah, I detest Carry's content.",0
41,10 minutes muhh se haggne ko roast nahi kehte beta,2
42,2.5 millon dislike hahahah,0
43,Kunal ke to lag gaye bichara,0
44,"Ye roast hai?
Memes ke bich me ek line bolna roast nahi kehte.
Kunal ji, 2M dislikes leke mar jaiye.
Apne apna career kharaab kardiya hai.",0
45,"i would ask ravish kumar "" has he ever asked a question to sonia gandhi, that how could so many scams happen in her regime""...or has he even the guts to do so",1
46,I really this video is gonna raise a lot of hell,1
47,"Govt. Teacher : what is your name ?
Kunal: My name is kunal kamra.
Govt. Teacher: toh bsdk terey baap ka naam eet hoga or maa ka cement
Whole class: ooooohhhhhhface_screaming_in_fear",1
48,If muh se hagna had a face face_with_tears_of_joy,2
49,"Binod
Binod
Binod
Binod
Binod
Binod
Binod
Binod
Tharuu",1
50,"Ek baar apna dislike dekh lo Kunal Kamra...
Apne baap ko roast karna sikha rhe ho....face_with_tears_of_joyface_with_tears_of_joy",1
51,"Chaar chavanni Ghode pe, Kuna Kamra mere Loude Pesmiling_face_with_open_handssmiling_face_with_open_hands",2
52,"Fan following dekh betha tere puri life me tuje jitne like n mile us se jyda life  dislikes mil gye baap baap hota h

Full support carry minati",0
53,"Joke are that much good 
That i cant laugh even ones.face_with_tears_of_joy",0
54,Kamra fans to Kamra: Karwali na bejati,0
55,kamra roast ka baap hain,2
56,Ye ohhhhhhhhh roast h?????face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
57,View paane ke chakr me itne dislike le liye jitne video pr is zindagi me view nhi aayege rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,0
58,"Cm ,pm, dharma",1
59,"Ofcourse watching the carry's content is lowest point for him. 2M dislikes over 350K likes!! 
Please imagine that (OHHHHHHHH) Sound by yourself",0
60,Salute to carry fan....and RIP for this gandu men...rolling_on_the_floor_laughingrolling_on_the_floor_laughingpouting_facepouting_face,2
61,Kunal saying thay he's famous.... Dude even osama bin laden and kim jong un are famous. Koi isko fame ka matlab sikhao yar.,1
62,Modi ki oukat nahi ki Ravish sir ko interview de,1
63,Ajay gali kyon deta hai be sale,1
64,"Where are bhakts in the comment section?
How about current status of Bagga's aamran ansann?
Seriously only advantage of Modi's 4 years- huge no of trolling ideas and really some political cartoons.",1
65,"Jinnah's Muslim League laid the foundation of lies and uncivilized politics in Pakistan Read old newspapers

https://youtube.com/watch?v=DHYAOsW8vt0",1
66,#soudaquamar,1
67,What is the number of dislikes for this video now? Any guesses?,0
68,I heard a street dog barking. When I paused this video it stopped.,2
69,Luger mantell cary,1
70,"I am bangladeshi hindu BangladeshBangladesh,,,we a hindu Rastriya",1
71,Majdoor ko khodna and baap ko chodna nhi sikhate face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,2
72,1 year ago I was among all those teenagers subscribing carryminati with more than 5 accounts and liking all his videos. And also laughing and disliking this video. But now i realized that how dumb i was. That time i also like all teenagers though those all abusing words were cool and also entertaining but now i realized how wrong i was. A new lesson i learned today is that first see and understand both sides then only come to a conclusion unlike blindly following someone .,0
73,Chomu se momugrinning_facegrinning_faceface_with_tears_of_joyface_with_tears_of_joy,1
74,"इसलिए लात खाता है भाषा की कैसी मजाक भाई
इतना ही देश बदलना है तो राजनीति और राजनेताओं का मजाक उडा कोई बोलेगा तो बोलना
तु तो धर्म, देश, भाषा, संस्कृति का मजाक उडा रहा है
अपनीं भाषा का मजा ही कुछ और है",1
75,..wtfcollisionraising_hands_light_skin_tone,2
76,Seeeeeeedhe baat //BETE TU JALTA HE USSE//,2
77,"प्रश्न - Kunal Kamra के कितने बाप ?
उत्तर  Carryminati, मैं और आप.

face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",1
78,Doob ke Marja ab kunal 2 M dislikes face_with_tears_of_joyface_with_tears_of_joy,2
79,Who is here just to check dislikes?winking_face_with_tongueface_with_tears_of_joyface_with_tears_of_joy,0
80,"Carry : Aaji lund mera
Karma : Views : 8.1M  
Karma : Like : ap khud ja kar cheak krloface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
Karma : Dislikes : 2M
karma : Comment : 418K pura galiyose bhara huarolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
#karma play with your YouTube channel kunal karmaface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",2
81,Brother stay under औक़ात !,2
82,"Kunal is his video be like let's roast carry 
Le carry fans in comment section: let's roast kamraface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",0
83,Acharya parshant firefirefolded_handsfolded_handsfolded_hands,0
84,"Kunal Kamra while creating this video: ""views hin views honge""
Kunal Kamra after uploading this video:
""bc dislikes hin dislikes ho gaye""",2
85,"After 2M Dislike 
CarryMinati : Bahut tej ho rahe ho salo",1
86,Pura cringe aadmi hai ye kamra face_with_tears_of_joyface_with_tears_of_joy roasting aata nhi roasting sikhayega wo bhi carry to face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,2
87,Jhaatu kamra face_with_tears_of_joy,2
88,Gadha dekha aaj pehli baar mr Kunal kamra OK_hand_light_skin_toneOK_hand_light_skin_tone bhai kyu pant khol k aa gay ab khulli kar k aaoge to public to vesse bhi harami he marva li na apni face_with_tears_of_joyface_with_tears_of_joy,2
89,Ravish babu kabi papu se b swal puch lete ya kanhiya se b k jnu mai naare lagwane ka kya matlb tha...or tu pm chod ksii din mrse debate kr k dekh,1
90,Full Video is of ooooooohhhhhhhhhhhh Memeface_with_tears_of_joyface_with_tears_of_joy Ye kya bavasir bna diyaface_with_tears_of_joy,2
91,binod,1
92,Kaash kamra ke baap ne 2 rupye wla nirodh 32 saal phle liya hota toh  rolling_on_the_floor_laughing,2
93,He is right,0
94,"No dislikes, will surely be a good video",0
95,25 lakh dislike means he is going in the right direction....,0
96,Marvelous roasting at 11:12 firefirefirefire,0
97,"Just came here to dislike ,,,, face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy. I already know that the ""content"" is ""Tatti-Inside"". #CarryRocksnerd_face",2
98,I think that u can break the record of highest dislikes on YouTube,0
99,"Mr Faisu: I have the most number of dislikes on youtube
Kunal Kamra: Hold my Takla",1
100,Stick to politics. Comedy k liye talent chaiye,1
101,"Ok... So.... Adding an ""OHH"" effect after every line is roasting!!! face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyvictory_hand...",0
102,"Kamra bhai dislike count wapas dilvado, vote karunga AAP ya Congress ko, dw",1
103,Modi is scared of kunal kamra and Munawar... Kitna barda fattttttoooo hai Modi.. Akthooooo,1
104,Carry minati fan,0
105,Binod,1
106,Kunal ki career ki machud gayi.....àe Rupali pakad meri Dali.....face_with_tears_of_joyface_with_tears_of_joy,2
107,Sir  apki  kya  AUKAAT hai CARRYMINATI  ke samne .,2
108,The only part I liked is that Kamra’s animated self has more hair that himface_with_tears_of_joy,2
109,Guys calm down !! He just wants to achieve faisu's record face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
110,Carryminati is the besttttttttttttttttttttttttttttt heart_suit,0
111,Get well soon Kamra,0
112,Bhai aukatdh me raho apniraised_back_of_handraised_back_of_handraised_back_of_handraised_back_of_handraised_back_of_handraised_back_of_handraised_back_of_handraised_back_of_handraised_back_of_handraised_back_of_handraised_back_of_handraised_back_of_handraised_back_of_handhand_with_fingers_splayedhand_with_fingers_splayedhand_with_fingers_splayedraised_back_of_handhand_with_fingers_splayed,1
113,Seriously man i didn't laugh at his single line....,0
114,Carry's one video is bigger than your whole career bro. Grow up!,0
115,Hindu deserve  this insult,1
116,Most dislike on YouTube rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,0
117,पागल हो गए Amazon prime वाले रोज यही चल रहा न्यू भी लाओ यर,2
118,Carry is the best yar..... Tum ghar jao yar...  man_facepalming,0
119,It was such a good roast. I didn't laugh for even a sec.,0
120,"Aik hath Mai jio, Aik hath Mai g**nd.....wah kya seen hai",1
121,"Kunal kamra ne toh apni hi video mai apna aap ko roast kr liya
             DISLIKE SEface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",0
122,"When you know that people won't get your jokes ... So you've added ""Oh"" after every punch line.. face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",0
123,Sirf oooooo volume  laga dene se koi faltu video roast nhi baan jataface_with_tears_of_joy,2
124,Your thumbnail is very disrespectful. Have some dignity. What if I relate modi with Hitler . We all know what fascist modi govt did with Muslims in India and Kashmir,1
125,Bhai tu famous hone ke liye kuch bhi bol raha hai yarrface_with_tears_of_joyface_with_tears_of_joy aur tera dislikes toh dekh abhiface_with_tears_of_joyface_with_tears_of_joy,1
126,After this roast fans be like : phir maar nahi kayega Thu face_savoring_food,0
127,Salute Batman!,1
128,Gau matru peena wala wont get d kunal kamla..,1
129,What non sense is this ? Couldn't even watch it complete,0
130,Kunal krma is so happy becouse youtube have given option to hide dislike,0
131,"After watching dislikes on this video, everyone to Kunal Kamra be like:

*AUR BHAI, AA GAYA SWAAD?*",0
132,Faisu and amir siddique be like  : we have one more contestant face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
133,Best one is ambani bolega idhar a lodu rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,2
134,2.4 M dislikes I mean ye toh badiya hai,0
135,Yeha to sub apne bhai log he koi gaali wala he ke nahi,1
136,"To sir Apke hisab se like mange wale sare YouTubers c*u*ia hote he!
To ishiab se Apke videos me to like hi Nahi Hona chahie.......firefirefirefirefirefire
Sahi he 2M+ dislike !  Carry+on manface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",2
137,"Ohhhhastonished_faceastonished_faceastonished_faceastonished_faceastonished_faceastonished_face
rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing",0
138,"4:19 bhai tabhi #CarryMinati bhai ko Most Liked Video banane ka record banaye h,,, 
#2M Dislike wale uncle face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",0
139,"He has more dislikes on this video than his subscribers.
Background Music : ohhhhhhhh firefire",0
140,Issi tatti cheez mai aaj tak nhi dekha face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,2
141,*Kunal AA GYA SWAADsmirking_face*,0
142,"One of the best thing about dude is that he never takes credit for himself when he achieves something. He always respect us, the audience and his Find the correct answer​ is polite in all his videos. We congratulate ourselves on this achievement. More to comered_heartyellow_heart",1
143,*Burnol moment for Arnab and Pee News*,1
144,Comment section is more funnier than video,0
145,Aapke liye big shaadi lekar aaye ho India Bharat ki gaddi par baitha Baap tumhara Modi hai India,1
146,"After watching this video
Carry:Saale tera career khaa jaaunga",1
147,Finding jokes in this video is as difficult as finding hair on Kamra's head,1
148,"Tune ye video to bana liya, khane ka mazak udaya , music ka mazak udaya, language ka mazak udaya. Waiting for video on ur own peace loving religion.",1
149,gawaar pm,1
150,But why did he made a joke out of himself? Why would someone destroy their own career?,0
151,I love carry,0
152,hit like if you can also see the irony in this video,0
153,"Modi aur Amit shah bhi Gujraati hai abhi sweetneess ke bare mein thoda sochna padege unme jyadaa kamxxxxxx , manxxxxx aur dusxxxx diktha hai. .thinking_facethinking_facethinking_face",1
154,Bs ek line face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyApne baap ko sikhaayega,2
155,The 2nd biggest mistake of Kunal kamra's life first was done by his parents,0
156,WHEN U HAVE MORE DISLIKES THAN SUBSCRIBERS.face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyrolling_on_the_floor_laughingface_with_tears_of_joyrolling_on_the_floor_laughingrolling_on_the_floor_laughing,0
157,Lol I see 1.96m subs but 2.5m dislikes.....Kunal made such an awfully impossible and contemptous feat possible.,0
158,Carry is the best yar..... Tum ghar jao yar...  man_facepalming,0
159,Binod,1
160,You are just here to dislike the video...face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
161,Teri Life ki Sabse badi galti carry carry ko rost karna rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingface_with_tears_of_joy,0
162,Saisha bhabhi grinning_face_with_sweatgrinning_face_with_sweatgrinning_face_with_sweat hnn b.....mc,2
163,Binod,1
164,"Literally like this video now, I understand it flexed_bicepsflexed_biceps.",0
165,"Google:
How to make bio-gas from online tatti..",2
166,Kunaal faltu mai khudki gand marane aa gaya face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,2
167,Good point bro,0
168,"I always thought Kunal pe log case kyu karte rehte hain???

Phir Maine uski stand up dekha aur socha maine ab tak FIR darj kyu nahi Kara??",0
169,"Yes gujarati are sweet but
 you don't  know 2002 ghodhra kand smiling_face_with_horns don't  underestimate Gujarati by his nature angry_face_with_hornssmiling_face_with_hornssmiling_face_with_hornssmiling_face_with_horns",1
170,Since he is banned from flying In Air lines he is now chool to take flying Arrow face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,2
171,"Carryminati level alag hai firefire 
       Bhai tera baap hai vo",1
172,Bacchpan me chote the bolne wale insaan.. Carry se panga please mat le..,0
173,"Now takla will say that dislikers are bhakt and carry supporters.

face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",2
174,After seeing dislikes ...kyu bhaee aagiya swaad,0
175,"Now these critters love a muslim & no ones saying = jai Shri ram lol..
Ub kya huwa? Hes also a muslim. Shame",1
176,"Likes from Deshbhakt Indians and Dislikes from Deshdrohi Bhakts,
IndiaIndiaIndiaIndia Jay Hind ...",1
177,kon hai ye kunal kamra aaj ka bacha mene to aaj tak eska naam tak nhi suna carry baap hai sb kaface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
178,Congratulations Dude 2Million DiskLike grinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesrolling_on_the_floor_laughingrolling_on_the_floor_laughing,0
179,Jaisi shakal waise roastingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,2
180,"Yaha to gujarati hi ki disrespect  ho rahi he. 
Plz agar kisi k culture k bare me pata na ho bolna nahi chahiye. 
Aapko un word ka meaning nahi pata to aap kuch bhi meaning bana denge. 
Ise kisi bhi angle se comedy to kahte nahi he. Ise sidhi tarah se kisi k culture ka apman hi kahte he. 
Comedy aati nahi to karte kyo ho. 
Vaha bethe he unake culture k bare me bolte to pata chalta. 
Me ek GUJRATI hu or muje ye comedy vahiyat lagi. Mera ek view is video k view me se nikal dena. 
Aage se kisi bhi area k culture k bareme bolne se pehle soch lena. Tumhe pata hona chahiye ki tu jo bol rahe ho agar kisi ko hasa raha he to kisi ko hert  to nagi karega. Kyunki jitne ko tumne us video me hasaya he usse jyada ko hert kiya he. 
Plz kisi ki insult ko comedy kahena bandh karo.",1
181,"Bhai aapka video mai aada part to ohhhhhhhhhh sound effect se hi nikal gaya.....Ya this is the content....kuch vi bol do aur ohhhhhhhhh laga do.
For eg-""4 bottle vodka,sab gir gaya...(ohhhhhhhhhhhhhhhhhhhhh)
.
CONTENT CREATED IN COMMENT BOXface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",0
182,How many of you came here to check the no of dislike for this video face_with_tears_of_joy,0
183,"Me - Disliked it  
My mind - no no he's got a point",0
184,Who is here after this content is age restricted face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
185,Binod,1
186,My ears face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy  how come is this even a roast face_with_tears_of_joy,0
187,"Kunalkamra is right.. 
Gaali to gaali hoti hai.. 
Ye na kre yarr koi bhi ho",0
188,Kunal beta rhne de tumse na ho payegarolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,0
189,Sale joke sikhle face_with_tears_of_joy,2
190,Roasting without gaali is an art.,0
191,Iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiioiiooiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,1
192,dekho mei video mei aayaa toh late hun but sahi kiya late aakai 2.4M logo kaa humor toh dekhne ko milla...lol.....bhai m ded mei thak gaya hun yalgaar*hagaar dekhkar,2
193,Tu marega carry k hathorolling_on_the_floor_laughingrolling_on_the_floor_laughing,2
194,Carry roast karega or bahut jor se karega,0
195,10 minutes muhh se haggne ko roast nahi kehte beta,2
196,Kunal Kamra...who don't know how many fathers he has,2
197,Your likes and dislikes showing everything... face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy take burnol bro... face_with_tears_of_joyface_with_tears_of_joy,0
198,JANTA NE MILKAR GANJE KAMRA KO HI ROAST KAR DIYA BY MAKING IT ONE OF THR MOST DISLIKED VIDEO. face_with_tears_of_joy,1
199,gaandu chapari,2
200,मानो तो मौज रोज है नहीं तो छाती कुटा रोज है,1
201,He roasted himself trying to roast Carryminati... face_with_tears_of_joyface_with_tears_of_joy,0
202,"Who is the chief minister of INDIA lol? only #carryminati fans can answer !!

Muje ee bhi lagta he adhi dislike BJP bhakt ke he",1
203,oye crandeep face_with_tears_of_joy,1
204,Jai bheem Jai BSP elephant,1
205,oye crandeep face_with_tears_of_joy,1
206,"Carryminati makes good content and funnier than this 
Carryminati be like: 7:32",0
207,"Aese log wohi ho te hain jo apne hi joke par has te hain, chahe samne wala hase- na hase face_with_tears_of_joyrolling_on_the_floor_laughing",0
208,My pet dog name is carry minatiface_with_tears_of_joy,0
209,Comment section has better jokes than his WHOLE career face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
210,"Kunal after adding ohh every five seconds.
""Comedy banaea bara maaza aea"" 
Are zyada ungli mat karo, carry mar dega tumhari",2
211,binod,1
212,"Carryminati : mujhe 2 milion like chaiye 
Kunal kamra: mujhe 2 milion dislike chaiyegrinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_face",0
213,#Agar #hum #kre #to #kre #kya #bole #to #bole #kya... #waah #modi #ji #waah... #pata #he #na #aap #sab #ko... #Nahi #pata #he... #Kaha #pata #he...,1
214,"After carry's video notification, our headphones be like;

""Ghusa laude, pehli fursat me ghusa kan me""rolling_on_the_floor_laughing",2
215,Dislikes rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingface_with_tears_of_joysad_but_relieved_facerolling_on_the_floor_laughingrolling_on_the_floor_laughing,0
216,It’s like  kamra teaching his father how to f###,2
217,Bhai desh mein kya sirf lauda hi hota hein rolling_on_the_floor_laughingrolling_on_the_floor_laughing ?? Aur bhi kuch hein saabko bolo saabka saath saabka bikaas,2
218,Kya soch ke aa gaye thei Carry ko roast karne?,0
219,rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingthumbs_up,0
220,"Who is the chief minister of INDIA lol? only #carryminati fans can answer !!

Muje ee bhi lagta he adhi dislike BJP bhakt ke he",1
221,"bs dekhne Aya tha 20 lakh logon se marvane ke baad,               "" wo "" dikhti kaisi hai face_with_tears_of_joy",0
222,comments are more enjoyable then his fkng jokes. rolling_on_the_floor_laughingrolling_on_the_floor_laughingface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
223,Damn the.  Comment section is on fire,0
224,Carry has a different style and u can't rost. man stick to stand-up beaming_face_with_smiling_eyessquinting_face_with_tonguewinking_face_with_tongue,0
225,Wasim Rizwi To Jitendra Narayan Singh Tyagifolded_handsfolded_handsfolded_hands,1
226,Itnaaaa mehnat bekaaar gayaa rolling_on_the_floor_laughing,0
227,Binod,1
228,Are you carry lover?,0
229,"Dislike is more than number of subscribers !! 
Ooooooooohhhhhhhhhhhhhhh",0
230,Carry minati ko roast karke iska career hi khatam ho gayarolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,0
231,"Literate ppl will like this video.. but 
I erlier do like carryminati",0
232,"Kamra roasting Carry

Indians be like :- Chal Chal Apne Baap Ko Maat Sikha",2
233,ooooooOooooOoOOOOOOOOOOOOOOOOOOOOOO,1
234,and what is your content limited to till (oohhhhhhhhohhhohhhhohh)onlycat_with_tears_of_joycat_with_tears_of_joy,0
235,"Ise to carry ke naam pe view mile to mile dislike bhi face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy 
Ye hai Lodu in to hundred",2
236,"Ek baar apna dislike dekh lo Kunal Kamra...
Apne baap ko roast karna sikha rhe ho....face_with_tears_of_joyface_with_tears_of_joy",0
237,He got more dislikes then the hair on his head!!,0
238,Binod,1
239,Big thanq for Peeing here face_with_tears_of_joy,1
240,2.4 M dislikes I mean ye toh badiya hai,0
241,"My reaction when i get to know that kunal has roasted Carry : 
Ab ghodo ki race me gadhe bhi daudenge.",2
242,나 사랑 그것 그래서 좋은 그리고 나  우르 목소리 !!!,1
243,Bhai pehle to jitna dis likes hai utna tere subscribers karle rolling_on_the_floor_laughing,0
244,"Kunal bhai..agar aaj bjp nhi hota to tera career hota kya.....
Oooooohhhhhhhh......face_with_tears_of_joyface_with_tears_of_joy",0
245,"This guy has ruined the ""OHHHHHHHHH"" meme for everyone",0
246,carry roasted kunal karma without saying in his art of bad words video and also promoted mivi,0
247,Binod,1
248,"After watching this video, feels like Arnab Goswami was still tolerable.",0
249,"*I LOVE YOU* MORES.BABY

Megan: ''Hotter''
Hopi: ''Sweeter''
Joonie: ''Cooler''
Yoongi: ''Butter''
Жизнь, как красивая мелодия, только песни перепутались.*I LOVE YOU* MORES.BABY

Megan: ''Hotter''
Hopi: ''Sweeter''
Joonie: ''Cooler''
Yoongi: ''Butter''
Жизнь, как красивая мелодия, только песни перепутались.",1
250,Kunal Kamra...who don't know how many fathers he has,1
251,Thori zada gali day laude,2
252,"Now takla will say that dislikers are bhakt and carry supporters.

face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",2
253,"""""""Who found oxyzen and start breathing breathing randomly are real, real legends""""""heart_suitheart_suitIndia",1
254,Share option rakh napunsakrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,2
255,I really don’t understand why the hell people talk shit about him ….he’s such a sweetheart red_heartcherry_blossom,2
256,"I feel ashamed of myself, to have voted for Bharat Jalao Party in 2014. Ravish Sir respect folded_hands",1
